Time (sec),C_ alkenes,C_ alkenes
223.00,2.46E-09,0.00E+00
1929.00,6.25E-08,3.22E-09
3644.00,5.57E-08,5.76E-09
5351.00,5.56E-08,5.87E-09
7057.00,5.43E-08,5.63E-09
12575.00,4.90E-08,4.50E-09
14283.00,4.69E-08,4.20E-09
15991.00,4.49E-08,3.94E-09
17690.00,4.32E-08,3.74E-09
19391.00,4.16E-08,3.55E-09
21089.00,4.03E-08,3.32E-09
22788.00,3.92E-08,3.14E-09
24487.00,3.78E-08,2.94E-09
26185.00,3.68E-08,2.77E-09
27886.00,3.59E-08,2.63E-09
29585.00,3.51E-08,2.52E-09
31285.00,3.39E-08,2.37E-09
32984.00,3.33E-08,2.32E-09
36384.00,3.22E-08,2.17E-09
39781.00,3.04E-08,2.05E-09
43183.00,2.93E-08,1.89E-09
46580.00,2.86E-08,1.80E-09
49979.00,2.75E-08,1.63E-09
53380.00,2.66E-08,1.52E-09
56780.00,2.58E-08,1.46E-09
60180.00,2.52E-08,1.46E-09
63578.00,2.45E-08,1.41E-09
66976.00,2.40E-08,1.35E-09
70376.00,2.34E-08,1.31E-09
73778.00,2.28E-08,1.20E-09
77181.00,2.23E-08,1.14E-09
80586.00,2.19E-08,1.06E-09
83991.00,2.18E-08,1.03E-09
92496.00,2.04E-08,9.39E-10
95899.00,1.95E-08,8.76E-10
99299.00,1.88E-08,8.26E-10
102701.00,1.82E-08,7.78E-10
106104.00,1.76E-08,7.35E-10
109506.00,1.70E-08,7.04E-10
112911.00,1.65E-08,6.49E-10
116316.00,1.61E-08,6.56E-10
119720.00,1.56E-08,6.28E-10
123124.00,1.51E-08,5.60E-10